,Llocation,genotype,rowrow,colu....mn,yield.x,yield_y,yield_z
1,Tifton,Dasher,1,3,53.5463,NA,NA
2,Ti   fton,     Dasher        ,2,4,37.522,NA,NA
3,Tifton,Dasher,3,2,49.3943,NA,NA
4,Tiftaaon,            Dasher,4,1,61.4758,NA,NA
5,Tifton,Guardian,1,4,34.7026,NA,NA
6,Tif,Guardian,2,2,NA,29.13,NA
7,Tifton,Guardian,3,1,NA,40.2423,NA
8,Tifton,,4,3,NA,50.793,NA
9,t,     Poi    nsett,1,1,NA,36.5749,NA
10,T,Poinsett,2,3,NA,24.6696,NA
11,T,Poinsett,3,4,NA,NA,30.7489
12,Tifton,,4,2,NA,NA,40.0661
13,Tifton,Sprint,1,2,NA,NA,35.0771
14,Tifton,            Sprint,2,1,NA,NA,43.304
